  id  |                   name                    | year_printed |                   sheet                   
------+-------------------------------------------+--------------+-------------------------------------------
 2402 | CB36                                      |         1881 | CB36
 2403 | CB35                                      |         1884 | CB35
 2404 | CB34                                      |         1885 | CB34
 2405 | CB46                                      |         1881 | CB46
 2406 | CB45                                      |         1882 | CB45
 2407 | CB44                                      |         1899 | CB44
 2408 | CB56                                      |         1881 | CB56
 2409 | CB55                                      |         1881 | CB55
 2410 | CB54                                      |         1886 | CB54
 2411 | CB53                                      |         1887 | CB53
 2412 | CB67                                      |         1880 | CB67
 2413 | CB66                                      |         1888 | CB66
 2414 | CB65                                      |         1882 | CB65
 2415 | CB63                                      |         1899 | CB63
 2416 | CB76-77                                   |         1884 | CB76-77
 2417 | CB78                                      |         1881 | CB78
 2418 | CB79                                      |         1895 | CB79
 2419 | CB80                                      |         1893 | CB80
 2420 | CB81                                      |         1889 | CB81
 2421 | CB82                                      |         1899 | CB82
 2422 | CB97                                      |         1889 | CB97
 2423 | CB95                                      |         1899 | CB95
 2424 | CB94                                      |         1897 | CB94
 2425 | CB92-93-108                               |         1882 | CB92-93-108
 2426 | CB107                                     |         1880 | CB107
 2427 | CB106                                     |         1884 | CB106
 2428 | OT55                                      |         1884 | OT55
 2429 | OT56                                      |         1868 | OT56
 2430 | OT57                                      |         1867 | OT57
 2431 | OT80                                      |         1886 | OT80
 2432 | OT79                                      |         1870 | OT79
 2433 | OT78                                      |         1884 | OT78
 2434 | OT73                                      |         1869 | OT73
 2435 | OT96                                      |         1884 | OT96
 2436 | OT97                                      |         1867 | OT97
 2437 | OT106                                     |         1867 | OT106
 2438 | OT108                                     |         1878 | OT108
 2439 | OT133-134-166-167-170-171-172-173-174-175 |         1896 | OT133-134-166-167-170-171-172-173-174-175
 2440 | OT115                                     |         1894 | OT115
 2441 | OT116                                     |         1888 | OT116
 2442 | OT124bk1                                  |         1876 | OT124bk1
 2443 | OT124bk6                                  |         1876 | OT124bk6
 2444 | SD39-40                                   |         1888 | SD39-40
 2445 | SD61                                      |         1888 | SD61
 2446 | SD65                                      |         1888 | SD65
 2447 | OT143-144-156-157                         |         1884 | OT143-144-156-157
 2448 | OT158                                     |         1892 | OT158
 2449 | OT159                                     |         1892 | OT159
 2450 | SD14-16-22-23-30                          |         1894 | SD14-16-22-23-30
 2451 | SD27-28                                   |         1894 | SD27-28
 2452 | SD35                                      |         1898 | SD35
 2453 | SD51-52                                   |         1896 | SD51-52
 2454 | SD42-43-50                                |         1899 | SD42-43-50
 2455 | SD70                                      |         1896 | SD70
 2456 | SD76                                      |         1886 | SD76
 2379 | NN19                                      |         1898 | NN19
 2380 | NN18                                      |         1896 | NN18
 2381 | NN14                                      |         1898 | NN14
 2382 | NN7                                       |         1896 | NN7
 2383 | NN3                                       |         1898 | NN3
 2384 | NN6                                       |         1898 | NN6
 2385 | NN21                                      |         1899 | NN21
 2386 | NN42                                      |         1899 | NN42
 2387 | NN67                                      |         1899 | NN67
 2388 | WD7                                       |         1898 | WD7
 2389 | WD6                                       |         1898 | WD6
 2390 | WD15                                      |         1881 | WD15
 2391 | WD23                                      |         1895 | WD23
 2392 | WD17                                      |         1879 | WD17
 2393 | WD28                                      |         1897 | WD28
 2394 | MB25                                      |         1880 | MB25
 2395 | MB29                                      |         1880 | MB29
 2396 | MB28                                      |         1880 | MB28
 2368 | TN14                                      |         1879 | TN14
 2369 | TN32                                      |         1893 | TN32
 2397 | MB32                                      |         1879 | MB32
 2370 | HB38                                      |         1885 | HB38
 2371 | WN58                                      |         1898 | WN58
 2372 | WN65                                      |         1898 | WN65
 2398 | MB33                                      |         1879 | MB33
 2373 | MB3                                       |         1882 | MB3
 2374 | MB7                                       |         1899 | MB7
 2375 | MB6                                       |         1894 | MB6
 2376 | NN30                                      |         1896 | NN30
 2399 | CB16                                      |         1877 | CB16
 2377 | NN28                                      |         1899 | NN28
 2378 | NN26                                      |         1898 | NN26
 2400 | CB26                                      |         1879 | CB26
 2401 | CB14                                      |         1879 | CB14
 2362 | NAK34                                     |         1882 | NAK34
 2363 | NAK36                                     |         1883 | NAK36
 2364 | SAK6                                      |         1882 | SAK6
 2365 | GS52                                      |         1884 | GS52
 2366 | GS57                                      |         1880 | GS57
 2367 | TN15                                      |         1899 | TN15
(95 rows)

