  id  |           name            | year_printed |  sheet   
------+---------------------------+--------------+----------
  773 | Port Craig                |         1987 | C49-D49
  775 | Takitimu                  |         1986 | D44
  778 | Bluff                     |         1983 | D47
  780 | Bluff                     |         1983 | E47
  782 | Port Adventure            |         1981 | E49
  785 | Mataura                   |         1983 | F46
  787 | Otematata                 |         1988 | H40
  789 | Waipiata                  |         1987 | H42
  792 | Milton                    |         1988 | H45
  794 | Hinahina                  |         1981 | H47
  796 | Burkes Pass               |         1989 | I38
  799 | Dunback                   |         1984 | I42
  801 | Dunedin                   |         1987 | I44-J44
  803 | Greymouth                 |         1982 | J31
  805 | Geraldine                 |         1983 | J38
  808 | Oamaru                    |         1984 | J41
  810 | Palmerston                |         1980 | J43
  812 | Ahaura                    |         1983 | K31
  815 | Wilberforce               |         1989 | K34
  817 | Methven                   |         1984 | K36
  819 | Temuka                    |         1980 | K38
  822 | Heaphy                    |         1984 | L26
  824 | Mokihinui                 |         1982 | L28
  827 | Waimakariri               |         1983 | L35
  829 | Ashburton                 |         1984 | L37
  831 | Farewell Spit             |         1984 | M24-N24
  833 | Cobb                      |         1986 | M26
  836 | Murchison                 |         1987 | M29
  838 | Lewis                     |         1989 | M31
  840 | Waikari                   |         1989 | M33
  843 | Lincoln                   |         1981 | M37
  845 | Ahipara                   |         1984 | N04
  847 | Tarakohe                  |         1984 | N25
  850 | Golden Downs              |         1987 | N28
  852 | Tarndale                  |         1987 | N30
  854 | Hanmer                    |         1989 | N32
  857 | Karikari                  |         1983 | O03
  859 | Rawene                    |         1984 | O05
  861 | Aranga                    |         1987 | O07
  864 | Wairau                    |         1985 | O28
  866 | Awatere                   |         1988 | O30
  868 | Whangaroa                 |         1984 | P04-Q04
  871 | Dargaville                |         1989 | P07
  873 | Rototuna                  |         1980 | P09
  875 | Egmont                    |         1984 | P20
  878 | Manaia                    |         1980 | P26
  880 | Blenheim                  |         1985 | P28
  882 | Mangamaunu                |         1988 | P31
  885 | Whangarei                 |         1988 | Q07-R07
  887 | Kaipara                   |         1981 | Q09
  889 | Helensville               |         1986 | Q11
  891 | Kawhia                    |         1981 | Q15-R15
  893 | Waitara                   |         1988 | Q19
  896 | Patea                     |         1985 | Q22
  900 | Bream Head                |         1989 | R06
  902 | Mangawhai                 |         1980 | R08
  904 | Whangaparaoa              |         1989 | R10
  906 | Marokopa                  |         1987 | R16
  909 | Whangamomona              |         1985 | R19
  911 | Ngamatapouri              |         1987 | R21
  913 | Marton                    |         1986 | R23-S23
  916 | Wellington                |         1979 | R27
  918 | Bream Head                |         1989 | S07
  920 | Colville                  |         1983 | S09
  922 | Waiheke                   |         1983 | S11
  925 | Te Kuiti                  |         1987 | S16
  927 | Taumarunui                |         1987 | S18
  929 | Ohakune                   |         1983 | S20
  932 | Foxton                    |         1980 | S24
  934 | Carterton                 |         1985 | S26
  936 | Cuvier                    |         1986 | T09
  939 | Thames                    |         1984 | T12
  941 | Putaruru                  |         1980 | T15
  943 | Whakamaru                 |         1983 | T17
  946 | Ruapehu                   |         1982 | T20
  948 | Mangaweka                 |         1983 | T22
  950 | Palmerston North          |         1980 | T24
  952 | Tauranga                  |         1980 | U14
  955 | Wairakei                  |         1982 | U17
  957 | Kaimanawa                 |         1988 | U19
  959 | Kereru                    |         1983 | U21
  962 | Maketu                    |         1987 | V14
  964 | Tarawera                  |         1988 | V16
  966 | Whirinaki                 |         1987 | V18
  968 | Napier                    |         1981 | V21
  971 | Whakatane                 |         1988 | W15
  973 | Whakatane                 |         1988 | W15
  977 | Omaio                     |         1983 | X15
  979 | Matawai                   |         1985 | X17
  981 | Cape Runaway              |         1983 | Y14
  984 | Te Karaka                 |         1984 | Y17
  986 | East Cape                 |         1983 | Z14
  988 | Tokomaru Bay              |         1983 | Z16
  991 | Parenga                   |         1977 | N3-4
  993 | Doubtless Bay             |         1972 | N7
  995 | Ahipara                   |         1975 | N9
  997 | Kerikeri                  |         1983 | N11
 1000 | Hokianga                  |         1972 | N14
 1002 | Whangaruru                |         1978 | N16
 1004 | Mangakahia                |         1975 | N19
 1006 | Dargaville                |         1973 | N23
 1008 | Ruawai                    |         1969 | N27
 1011 | Barrier                   |         1953 | N30-31
 1013 | Kaipara                   |         1971 | N33
 1015 | Colville                  |         1968 | N35-36
 1017 | Silverdale                |         1974 | N38
 1020 | Waitakere                 |         1977 | N41-46
 1022 | Ponui                     |         1975 | N43
 1024 | Pukekohe                  |         1974 | N46-47
 1026 | Thames                    |         1979 | N49
 1029 | Paeroa                    |         1972 | N53-54
 1031 | Te Akau                   |         1978 | N55
 1033 | Te Aroha                  |         1974 | N57
 1036 | Runaway                   |         1970 | N62
 1038 | Raglan                    |         1971 | N64
 1040 | Matamata                  |         1978 | N66
 1042 | Whakatane                 |         1978 | N69
 1044 | Hikurangi                 |         1970 | N71
 1047 | Otorohanga                |         1974 | N74
 1051 | Ruatoki                   |         1979 | N78
 1053 | Tokomaru                  |         1971 | N80-81
 1056 | Whakamaru                 |         1979 | N84
 1058 | Galatea                   |         1977 | N86
 1060 | Matawai                   |         1974 | N88
 1062 | Mokau                     |         1974 | N91
 1065 | Taupo                     |         1977 | N94
 1067 | Maungapohatu              |         1979 | N96
 1069 | Gisborne                  |         1979 | N98
 1071 | Ohura                     |         1974 | N100
 1074 | Rangitaiki                |         1979 | N103
 1076 | Waikaremoana              |         1975 | N105
 1078 | Wharereata                |         1972 | N107
 1080 | Inglewood                 |         1977 | N109
 1082 | Waimarino                 |         1977 | N111
 1085 | Tutira                    |         1975 | N114
 1087 | Wairoa                    |         1969 | N116
 1089 | Egmont                    |         1977 | N118
 1092 | Ohakune                   |         1975 | N121
 1094 | Ngamatea                  |         1975 | N123
 1096 | Tongoio                   |         1973 | N125
 1099 | Waitotara                 |         1975 | N130
 1101 | Taihape                   |         1970 | N132
 1103 | Napier & Hastings         |         1974 | N134
 1105 | Waverley                  |         1976 | N137
 1107 | Mangaweka                 |         1979 | N139
 1110 | Waimarama                 |         1969 | N142
 1112 | Feilding                  |         1979 | N144
 1114 | Waipukurau                |         1972 | N146
 1116 | Palmerston North          |         1973 | N149
 1119 | Levin                     |         1973 | N152
 1121 | Pongaroa & Turnagain      |         1974 | N154-155
 1125 | Tinui                     |         1973 | N159
 1127 | Rimutaka                  |         1974 | N161
 1130 | Wellington                |         1974 | N164
 1132 | Pahaoa                    |         1974 | N166
 1134 | Farewell                  |         1974 | S1-3
 1136 | Kaburangi                 |         1972 | S2
 1139 | Heaphy                    |         1971 | S7
 1141 | Adele                     |         1973 | S9
 1143 | Chetwode                  |         1975 | S11
 1145 | Cobb                      |         1974 | S13
 1147 | Rai                       |         1970 | S15
 1150 | Tadmor                    |         1974 | S19
 1152 | Kaituna                   |         1972 | S21
 1154 | Westport                  |         1973 | S23-24
 1156 | Hope                      |         1973 | S26
 1159 | Seddon                    |         1972 | S29
 1161 | Buller                    |         1972 | S31
 1163 | St Arnaud                 |         1971 | S33
 1165 | Awatere                   |         1971 | S35
 1168 | Reefton                   |         1972 | S38
 1170 | Spenser                   |         1971 | S40
 1172 | Clarence                  |         1972 | S42-43
 1175 | Lewis                     |         1971 | S46
 1177 | Charwell                  |         1971 | S48
 1179 | Hokitika                  |         1978 | S50-51
