  id  |               name                | year_printed |         sheet         
------+-----------------------------------+--------------+-----------------------
 1633 | Waipatiki Beach                   |         2009 | BJ40ptBJ39
 1634 | Ngawi                             |         2009 | BR33
 1635 | Whakaari / White Island           |         2009 | BC40ptBD40
 1636 | Mokohinau Islands                 |         2009 | AX33
 1637 | Bream Head                        |         2009 | AX31
 1638 | Panaki Island                     |         2009 | AU29ptAV29
 1639 | Taupo Bay                         |         2009 | AU28ptAV28
 1640 | North Cape (Otou)                 |         2009 | AT25
 1641 | Cape Reinga                       |         2009 | AT24
 1642 | Cape Brett                        |         2009 | AV30
 1643 | Russell                           |         2009 | AV29
 1644 | Whangaroa                         |         2009 | AV28
 1645 | Mangamuka                         |         2009 | AV27
 1646 | Whangarei                         |         2009 | AX30
 1647 | Tangowahine                       |         2009 | AX29
 1648 | Dargaville                        |         2009 | AX28
 1649 | Aranga                            |         2009 | AX27
 1650 | Kaitaia                           |         2009 | AV26
 1651 | Tauroa Peninsula                  |         2009 | AV25ptAV26
 1652 | Cuvier Island (Repanga Island)    |         2009 | AZ35
 1653 | Moehau                            |         2009 | AZ34
 1654 | Kawau Island                      |         2009 | AZ32
 1655 | Warkworth                         |         2009 | AZ31
 1656 | The Alderman Islands              |         2009 | BB37ptBB36
 1657 | Whangamata                        |         2009 | BB36
 1658 | Hikuai                            |         2009 | BB35
 1659 | Hunua                             |         2009 | BB33
 1660 | Papatoetoe                        |         2009 | BB32
 1661 | Manukau Harbour                   |         2009 | BB31
 1662 | Kaipara Harbour                   |         2009 | AZ30
 1663 | Kaipara Head                      |         2009 | AZ29
 1664 | Piha                              |         2009 | BB30ptBB31
 1665 | Te Araroa                         |         2009 | BD45
 1666 | Potaka                            |         2009 | BD44
 1667 | Raukokore                         |         2009 | BD43
 1668 | Marau Point                       |         2009 | BF45ptBF44
 1669 | Tolaga Bay                        |         2009 | BF44
 1670 | Te Karaka                         |         2009 | BF43
 1671 | Te Kaha                           |         2009 | BD42
 1672 | Matawai                           |         2009 | BF42
 1673 | Oponae                            |         2009 | BF41
 1674 | Matahi                            |         2009 | BF40
 1675 | Galatea                           |         2009 | BF39
 1676 | Wharerata                         |         2009 | BH43
 1677 | Mahia Peninsula                   |         2009 | BJ43ptsBJ42,BH42,BH43
