  id  |                                 name                                 | series  |                   sheet                   | year_printed | uploadedmap_id |                                   extent                                   
------+----------------------------------------------------------------------+---------+-------------------------------------------+--------------+----------------+----------------------------------------------------------------------------
  251 | Ruatoki                                                              | NZMS1   | N78                                       |         1962 |                | BOX(176.905611601129 -38.2484276710297,177.380208728951 -37.9948381353888)
 2026 | Opourapa Island                                                      | Topo50  | BG30ptBH30                                |         2009 |                | BOX(174.241637306615 -39.0043569040069,174.52437962806 -38.6767617513008)
 2409 | CB55                                                                 | NZMS13  | CB55                                      |         1881 |                | BOX(172.227284643195 -43.4070027345874,172.473729717876 -43.2253725427599)
  264 | Gisborne                                                             | NZMS1   | N98                                       |         1965 |                | BOX(177.857883965482 -38.7271957084276,178.338645252852 -38.4698569450682)
 2024 | Porirua                                                              | Topo50  | BP31                                      |         2009 |                | BOX(174.565685492799 -41.1625951384636,174.859313175138 -40.8342067714815)
 1070 | Mimi                                                                 | NZMS1   | N99                                       |         1977 |                | BOX(174.075420793567 -38.9943708226641,174.553549197167 -38.7425093278336)
 1350 | Paringa                                                              | NZMS260 | F36                                       |         1999 |                | BOX(169.124502002232 -43.7569916182934,169.278357416328 -43.6711256192626)
 1209 | Burnham                                                              | NZMS1   | S83                                       |         1972 |                | BOX(172.008911081673 -43.7503166785965,172.521822678162 -43.5000321216573)
  496 | Te Kauwhata                                                          | NZMS1   | N52                                       |         1981 |                | BOX(175.0347623231 -37.5154623292199,175.500188464203 -37.2673864326337)
 2265 | Horowhenua                                                           | NZMS15  | 1                                         |         1930 |                | BOX(175.02324 -40.71041,175.62672 -40.42655)
 1101 | Taihape                                                              | NZMS1   | N132                                      |         1970 |                | BOX(175.500179343085 -39.7394879665775,175.980209080646 -39.4914330144071)
 2311 | Ashburton                                                            | NZMS15  | 3                                         |         1946 |                | BOX(171.20055 -44.18536,171.76698 -43.74453)
  276 | Kaweka                                                               | NZMS1   | N113                                      |         1965 |                | BOX(175.975163475802 -39.244358927435,176.453421918593 -38.994375149226)
  599 | Onoke                                                                | NZMS1   | N165                                      |         1978 |                | BOX(175.007609514339 -41.4686977394535,175.500173557497 -41.2206528420127)
 1083 | Ngauruhoe                                                            | NZMS1   | N112                                      |         1972 |                | BOX(175.500181217258 -39.2453331795375,175.976824693219 -38.997274301549)
 2285 | Tuapeka                                                              | NZMS15  | 3                                         |         1949 |                | BOX(169.54737 -46.07318,170.05234 -45.63941)
 1789 | Dunstan Peak                                                         | Topo50  | CB14                                      |         2009 |                | BOX(169.497551135841 -45.0186507275802,169.819494805565 -44.6862452805566)
 2247 | Stratford-Eltham                                                     | NZMS15  |                                           |         1925 |                | BOX(174.04411 -39.52109,174.87223 -39.17847)
 1820 | Codfish Island / Whenua Hou                                          | Topo50  | CH08                                      |         2009 |                | BOX(167.48786638108 -46.8893450831901,167.832469510594 -46.5521506999914)
  437 | Reefton                                                              | NZMS1   | S38                                       |         1945 |                | BOX(171.500118025443 -42.2698981343579,171.998870155976 -42.0218605019622)
 1283 | Heriot                                                               | NZMS1   | S161                                      |         1974 |                | BOX(168.846875731261 -45.953345186131,169.386467442148 -45.695715712229)
 2148 | Map of the Tararua Mountain System                                   | NZMS57  |                                           |         1964 |             73 | BOX(175.049671464506 -41.1598574616318,175.698578390565 -40.517701063816)
 2310 | Ashburton                                                            | NZMS15  | 2                                         |         1946 |                | BOX(171.76616 -44.09169,172.25119 -43.73045)
  847 | Tarakohe                                                             | NZMS260 | N25                                       |         1984 |                | BOX(172.762981531672 -40.8463048041197,173.237309037644 -40.5761337122376)
 2254 | Wanganui                                                             | NZMS15  |                                           |         1920 |                | BOX(174.94508 -40.05561,175.51477 -39.48202)
 2397 | MB32                                                                 | NZMS13  | MB32                                      |         1879 |                | BOX(173.524906579839 -42.4630677454712,173.830348194895 -42.231738797569)
 1314 | Puysegur                                                             | NZMS260 | B47                                       |         1996 |                | BOX(166.796972655612 -46.6252305535793,166.961897826787 -46.5363958134142)
   25 | Bay of Islands                                                       | NZMS1   | N12                                       |         1942 |                | BOX(174.143320286056 -35.2872148222101,174.598283784242 -35.0357970386902)
  359 | Okarito                                                              | NZMS1   | S63                                       |         1959 |                | BOX(169.980130098358 -43.2531547177596,170.490763464065 -43.0007081887843)
 1060 | Matawai                                                              | NZMS1   | N88                                       |         1974 |                | BOX(177.380208728951 -38.4888319890918,177.857883965482 -38.2333746514875)
   26 | Herekino                                                             | NZMS1   | N13                                       |         1944 |                | BOX(173.033418408297 -35.4341649792624,173.239239070927 -35.2655384126649)
 2328 | Kaikoura                                                             | NZMS15  | 1                                         |         1930 |                | BOX(173.25006 -42.30032,174.0957 -41.9842)
 1478 | Waihopai                                                             | NZMS260 | O29                                       |         1986 |                | BOX(173.240217874274 -41.9268401205585,173.723447082291 -41.6547520275159)
 1543 | Huntly                                                               | NZMS260 | S13                                       |         1996 |                | BOX(175.027486979741 -37.5844513001719,175.488127238083 -37.3049471494212)
 1229 | Martins Bay                                                          | NZMS1   | S105                                      |         1974 |                | BOX(167.882466169583 -44.4499489922048,168.411433000218 -44.1883729184995)
 1662 | Kaipara Harbour                                                      | Topo50  | AZ30                                      |         2009 |                | BOX(174.202861006197 -36.6254243805315,174.476229607582 -36.2979599632249)
  136 | Waitahuna                                                            | NZMS1   | S171                                      |         1945 |                | BOX(169.367620763745 -46.2086712414358,169.907611635289 -45.953345186131)
  196 | Adele                                                                | NZMS1   | S9                                        |         1950 |                | BOX(172.962418742902 -41.0256302737797,173.185227268391 -40.7757464848134)
 1741 | Springs Junction                                                     | Topo50  | BT22                                      |         2009 |                | BOX(171.978242694993 -42.468019067334,172.273881103227 -42.1416170620128)
 1726 | Woodville                                                            | Topo50  | BM35                                      |         2009 |                | BOX(175.677513791047 -40.4934044315051,175.97320856946 -40.1625692815656)
 2261 | Featherston-WairarapaSouth                                           | NZMS15  | 2                                         |         1925 |                | BOX(175.45757 -41.18122,175.93957 -40.76424)
 1171 | Molesworth                                                           | NZMS1   | S41                                       |         1971 |                | BOX(172.990355049256 -42.2601437063758,173.494577295625 -42.0057430315317)
 1116 | Palmerston North                                                     | NZMS1   | N149                                      |         1973 |                | BOX(175.50017648169 -40.4806412520632,175.985444838933 -40.2325918604281)
  414 | Riverton                                                             | NZMS1   | S176                                      |         1967 |                | BOX(167.754194152999 -46.4215220994259,168.302787029269 -46.1589911096088)
 2206 | Whangaroa                                                            | NZMS15  |                                           |         1921 |                | BOX(173.5643 -35.23689,173.98918 -34.87178)
  449 | Morley                                                               | NZMS1   | S159                                      |         1946 |                | BOX(167.787519476846 -45.9287124708882,168.331011099954 -45.6664267924348)
  667 | Lake Heron                                                           | NZMS1   | S73                                       |         1979 |                | BOX(170.991312510497 -43.5045572649574,171.500113053621 -43.2565229690541)
 1146 | Motueka                                                              | NZMS1   | S14                                       |         1978 |                | BOX(172.96786777956 -41.2725554173464,173.464230432573 -41.0183648302474)
 1487 | Ruawai                                                               | NZMS260 | P08                                       |         1998 |                | BOX(173.65869209375 -36.2504326503919,174.106671645137 -35.9760186333635)
 1108 | Ongaonga                                                             | NZMS1   | N140                                      |         1976 |                | BOX(175.980209080646 -39.985549498277,176.463639055766 -39.7355203808151)
  899 | Cook Strait                                                          | NZMS260 | Q27                                       |         1980 |                | BOX(174.190826203836 -41.3806770346848,174.673850579441 -41.1046596227315)
 1120 | Eketahuna                                                            | NZMS1   | N153                                      |         1975 |                | BOX(175.500175514087 -40.7276712468912,175.987233725853 -40.4796236141726)
 1600 | Te Haroto                                                            | NZMS260 | V19                                       |         1988 |                | BOX(176.458878443814 -39.1719792661042,176.934816433381 -38.8870430130965)
  786 | Haast Pass                                                           | NZMS260 | G38                                       |         1989 |                | BOX(169.239466425704 -44.3117010027064,169.75505562204 -44.0267109502258)
 1665 | Te Araroa                                                            | Topo50  | BD45                                      |         2009 |                | BOX(178.291784231514 -37.8094340783113,178.586217337307 -37.4738934262099)
  149 | Kaituna                                                              | NZMS1   | S21                                       |         1942 |                | BOX(173.464230432573 -41.5120773459587,173.964170071365 -41.2558079988344)
